Produto;Quantidade;Unitario;Total;Venda Ano;Loja;Cidade
 Shampoo+máscara Alinhamento Capilar Aneethun Liss 3 Produtos ;64;299.99;19199.36;3839.87;https://perfil.mercadolivre.com.br/PURAMANIACOSMETICOS;Presidente Prudente, São Paulo.
 Máscara Hidratante Aneethun Kinoa Lizz Phase 4 1kg ;40;145.9;5836.0;972.67;https://perfil.mercadolivre.com.br/BELA+RADIANTE;Contagem, Minas Gerais.
 Aneethun Kera Tratamento Reestruturante 500 Ml ;71;108.91;7732.61;1933.15;https://perfil.mercadolivre.com.br/DOCE+BELEZA+OFICIAL?brandId=137;São Paulo, São Paulo.
 Aneethun Linha A Hidratação Profunda Kit2 Produtos ;11;89.0;979.0;163.17;https://perfil.mercadolivre.com.br/WEB+COSMETICO;Bauru, São Paulo.
 Aneethun Reestruturador Kera System Instantâneo N2 500ml ;35;81.0;2835.0;708.75;https://perfil.mercadolivre.com.br/BELEZACOSM%C3%89TICOS;São Paulo, São Paulo.
 Aneethun Máscara Hidrat. Kinoa 250ml ;8;51.66;413.28;206.64;https://perfil.mercadolivre.com.br/BB+COSMETICOS;São Paulo, São Paulo.
 Kit Aneethun Anti Queda Sh. 200g Balsamo 200g E Loçao 115ml ;50;219.0;10950.0;2737.5;https://perfil.mercadolivre.com.br/BELEZACOSM%C3%89TICOS;São Paulo, São Paulo.
 Kit Aneethun Blond System Matizante - Shampoo+máscara ;8;110.0;880.0;880.0;https://perfil.mercadolivre.com.br/CENTRALVENDASUM;Santa Rita do Passa Quatro, São Paulo.
 Aneethun Kit Cronograma Capilar Antiquebra 120ml Promoção ;7;149.99;1049.93;1049.93;https://perfil.mercadolivre.com.br/CENTRALVENDASUM;Santa Rita do Passa Quatro, São Paulo.
 Aneethun Linha A Máscara 500gr ;249;71.9;17903.1;4475.77;https://perfil.mercadolivre.com.br/BELEZACOSM%C3%89TICOS;São Paulo, São Paulo.
 Kit Aneethun Queen - Shampoo + Máscara + Bb Queen + Oil ;7;324.0;2268.0;756.0;https://perfil.mercadolivre.com.br/CIABELEZA+DISBEL;Presidente Prudente, São Paulo.
 Kit Aneethun Linha A Shampoo 300ml E Creme De Silicone250ml ;90;93.9;8451.0;2112.75;https://perfil.mercadolivre.com.br/BELEZACOSM%C3%89TICOS;São Paulo, São Paulo.
 Aneethun Linha A Hidratação+ 1 Creme Kit 4 Produtos ;19;208.0;3952.0;658.67;https://perfil.mercadolivre.com.br/WEB+COSMETICO;Bauru, São Paulo.
